id,primary_name,prefixes,total.dois,current.dois,backfile.dois,flags.deposits.abstracts.current,coverge.abstracts.current,flags.deposits.abstracts.backfile,coverge.abstracts.backfile
78,Elsevier BV,"10.7424, 10.25013, 10.14219, 10.1602, 10.1529, 10.1533, 10.1580, 10.3816, 10.1240, 10.1205, 10.1197, 10.1157, 10.3921, 10.1367, 10.1378, 10.1331, 10.1383, 10.2111, 10.2139, 10.1006, 10.1016, 10.1067, 10.1078, 10.2353, 10.1054, 10.1053, 10.3182, 10.3129, 10.7811, 10.4065",17664992,1957586,15707406,TRUE,0,TRUE,0
297,Springer Science and Business Media LLC,"10.26778, 10.26777, 10.7603, 10.33283, 10.1617, 10.1245, 10.1251, 10.3858, 10.1208, 10.1114, 10.3758, 10.1186, 10.1140, 10.1361, 10.1379, 10.1381, 10.1385, 10.2165, 10.19150, 10.1007, 10.1013, 10.1065, 10.1023, 10.1038, 10.1057, 10.4333, 10.5819, 10.5052, 10.4056, 10.17269",13151197,1474415,11676782,TRUE,1.61419957294129e-4,TRUE,1.58947907038964e-4
301,Informa UK Limited,"10.7158, 10.1623, 10.2976, 10.1531, 10.1586, 10.1582, 10.1887, 10.1888, 10.3810, 10.3826, 10.2513, 10.1201, 10.1207, 10.3763, 10.1198, 10.1174, 10.3939, 10.2167, 10.2147, 10.1081, 10.1080, 10.2216, 10.5661, 10.4324, 10.4161, 10.3187, 10.3200, 10.3137, 10.3152, 10.3155, 10.3109, 10.3110, 10.5175, 10.4113, 10.5408",5415371,753553,4661818,TRUE,3.71573056327179e-4,TRUE,1.12831519800238e-4
311,Wiley,"10.14814, 10.2903, 10.2966, 10.1506, 10.1516, 10.1526, 10.1581, 10.1592, 10.1897, 10.1890, 10.1892, 10.1256, 10.1113, 10.1112, 10.1118, 10.1111, 10.1196, 10.2746, 10.1348, 10.1359, 10.1301, 10.3401, 10.3405, 10.2164, 10.3322, 10.1002, 10.1096, 10.1034, 10.1046, 10.4319, 10.4218, 10.3162, 10.3170, 10.18934, 10.7863, 10.5054, 10.4004",9168567,725910,8442657,TRUE,2.4934220709838e-4,TRUE,1.65943027241156e-4
263,Institute of Electrical and Electronics Engineers (IEEE),"10.36227, 10.1109, 10.21629, 10.23919, 10.15325",3825559,596114,3229445,TRUE,0.00147455022670329,TRUE,0
286,Oxford University Press (OUP),"10.2146, 10.3382, 10.1093, 10.5740",3818322,288479,3529843,TRUE,0.478024393320084,TRUE,0.0269963853061199
1968,MDPI AG,"10.32545, 10.3390, 10.35995, 10.20944",376609,242459,134150,TRUE,0.865008115768433,TRUE,0.0307491607964039
276,Ovid Technologies (Wolters Kluwer Health),"10.14309, 10.7123, 10.1519, 10.11124, 10.1227, 10.1249, 10.1203, 10.1212, 10.1213, 10.1288, 10.2459, 10.1161, 10.2106, 10.1097, 10.5435",2185678,191289,1994389,TRUE,0.0158921834081411,TRUE,5.23969996720552e-4
266,IOP Publishing,"10.35848, 10.1209, 10.1070, 10.1088",943875,183703,760172,FALSE,0,FALSE,0
179,SAGE Publications,"10.7182, 10.14240, 10.1622, 10.2968, 10.1630, 10.1606, 10.12679, 10.3821, 10.1243, 10.1258, 10.2511, 10.1106, 10.1191, 10.1177, 10.31124, 10.1345, 10.1354, 10.1369, 10.2182, 10.2189, 10.3317, 10.4137, 10.4135, 10.4219, 10.15256, 10.5153, 10.5126, 10.5193, 10.5034, 10.5367, 10.17322, 10.5301",2489286,179789,2309497,TRUE,0.360111027956009,TRUE,0.0149218635633588
374,Walter de Gruyter GmbH,"10.26363, 10.1515, 10.1524, 10.3884, 10.2478, 10.2202",1441845,170315,1271530,TRUE,0.281695693731308,TRUE,0.129993006587029
316,American Chemical Society (ACS),"10.26434, 10.1021, 10.29200",1657701,163517,1494184,TRUE,0.0613269582390785,TRUE,1.97432178538293e-4
1121,JSTOR,10.2307,1934962,156157,1778805,FALSE,0,FALSE,0
56,Cambridge University Press (CUP),"10.7313, 10.7135, 10.1557, 10.3815, 10.1154, 10.33774, 10.1375, 10.5949, 10.5948, 10.1017, 10.4039",1888529,123806,1764723,TRUE,0.38473904132843,TRUE,0.392417401075363
17262,Qeios Ltd,10.32388,103242,103242,0,FALSE,0,FALSE,0
292,Royal Society of Chemistry (RSC),10.1039,658814,102820,555994,TRUE,0.862458646297455,TRUE,0.239687845110893
194,Georg Thieme Verlag KG,"10.15654, 10.15653, 10.12687, 10.1160, 10.3413, 10.3414, 10.3415, 10.1055, 10.4338, 10.5482, 10.15265",885033,91468,793565,TRUE,0.292998641729355,TRUE,0.0601576417684555
3145,Copernicus GmbH,"10.7482, 10.3285, 10.5194",193835,84715,109120,TRUE,0.473517090082169,TRUE,0.57243400812149
1963,Organisation for Economic Co-Operation and Development  (OECD),"10.1786, 10.1787",366559,81907,284652,FALSE,0,FALSE,0
1965,Frontiers Media SA,"10.3389, 10.4175",172727,78407,94320,FALSE,0,FALSE,0
239,BMJ,"10.1783, 10.1136",939707,75750,863957,TRUE,0.350547850131989,TRUE,0.0115283513441682
320,Association for Computing Machinery (ACM),10.1145,480386,71136,409250,FALSE,0,FALSE,0
246,Cold Spring Harbor Laboratory,"10.14224, 10.1261, 10.1101",123069,70256,52813,TRUE,0.959604859352112,TRUE,0.354874759912491
140,Emerald,"10.35241, 10.1108, 10.5042",424724,64053,360671,TRUE,0.492186158895493,TRUE,0.0467711575329304
317,AIP Publishing,10.1063,803419,63298,740121,FALSE,0,FALSE,0
137,Pleiades Publishing Ltd,10.1134,271774,51988,219786,TRUE,0.00250057713128626,TRUE,0.00163340708240867
1574,Atlantis Press,10.2991,127748,50309,77439,TRUE,0,FALSE,0
15934,Center for Open Science,"10.37044, 10.35543, 10.35542, 10.34055, 10.31219, 10.31237, 10.31236, 10.31231, 10.31230, 10.31233, 10.31232, 10.31235, 10.31234, 10.31226, 10.31225, 10.31228, 10.31227, 10.31229, 10.31220, 10.31222, 10.31221, 10.31224, 10.31223, 10.33767, 10.31730, 10.32942, 10.32943",57575,49942,7633,TRUE,0.977794229984283,TRUE,0.909865081310272
189,SPIE-Intl Soc Optical Eng,10.1117,534740,49044,485696,FALSE,0,FALSE,0
16,American Physical Society (APS),"10.29172, 10.1103",668989,48631,620358,FALSE,0,FALSE,0
340,Public Library of Science (PLoS),"10.24196, 10.1371",276370,48514,227856,FALSE,0,FALSE,0
98,Hindawi Limited,"10.6064, 10.7217, 10.7167, 10.3814, 10.1100, 10.1155, 10.4061, 10.5402",240065,47776,192289,TRUE,0.965945243835449,TRUE,0.898756563663483
250,EDP Sciences,"10.9742, 10.2516, 10.2515, 10.1051",270776,45531,225245,TRUE,0.963343679904938,TRUE,0.0106017887592316
50,Brill,"10.2959, 10.1163",403168,45424,357744,TRUE,0.188138425350189,TRUE,0.118422672152519
2581,Medknow,"10.6219, 10.15380, 10.4103",182600,43795,138805,FALSE,0,TRUE,0
219,World Scientific Pub Co Pte Lt,10.1142,391844,41986,349858,TRUE,0.518553793430328,TRUE,0.376426994800568
530,FapUNIFESP (SciELO),"10.7476, 10.1590, 10.21800, 10.21762",376778,41940,334838,TRUE,0.651168346405029,TRUE,0.592809081077576
4434,Cornell University Press,10.7591,59203,41223,17980,TRUE,0.0211532395333052,TRUE,0.0495550595223904
3821,Nomos Verlag,10.5771,160171,38491,121680,TRUE,0.0500896312296391,TRUE,3.61604208592325e-4
16470,Case Journals,10.31525,39281,38102,1179,FALSE,0,FALSE,0
378,Inderscience Publishers,10.1504,132188,36213,95975,FALSE,0,FALSE,0
285,The Optical Society,10.1364,296145,35436,260709,FALSE,0,FALSE,0
147,Project Muse,"10.26597, 10.1353",332337,33223,299114,FALSE,0,TRUE,2.7748616412282e-4
8761,Research Square,10.21203,32795,32795,0,TRUE,0.999542593955994,FALSE,0
2984,Bloomsbury Academic,"10.2752, 10.5040, 10.5235",92622,30911,61711,FALSE,0,FALSE,0
2258,Pensoft Publishers,"10.15560, 10.3897",46809,30725,16084,TRUE,0.163742884993553,TRUE,0.146543145179749
2273,CAIRN,10.3917,283579,30299,253280,FALSE,0,FALSE,0
4950,Faculty Opinions Ltd,"10.12703, 10.3410",225431,29846,195585,FALSE,0,FALSE,0
2432,IGI Global,10.4018,91353,29716,61637,TRUE,0.899111568927765,TRUE,0.797881126403809
9060,Egypts Presidential Specialized Council for Education and Scientific Research,10.21608,77847,29308,48539,FALSE,0,FALSE,0
2399,OpenEdition,10.4000,227506,27251,200255,FALSE,0,FALSE,0
7763,Worldwide Protein Data Bank,10.2210,169188,27041,142147,FALSE,0,FALSE,0
1086,American Association for Cancer Research (AACR),10.1158,144010,26509,117501,FALSE,0,FALSE,0
21590,Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP,10.35940,26317,26316,1,TRUE,0.995554029941559,TRUE,1
965,Bentham Science Publishers Ltd.,10.2174,139217,25827,113390,TRUE,0.539861381053925,TRUE,0.0505952909588814
15,American Psychological Association (APA),"10.1037, 10.5084",622319,25415,596904,FALSE,0,FALSE,0
1096,IUCN,10.2305,152802,24962,127840,FALSE,0,FALSE,0
4035,Diva Enterprises Private Limited,10.5958,54695,23645,31050,FALSE,0,FALSE,0
9818,Atena Editora,10.22533,23490,23439,51,FALSE,0,FALSE,0
278,Mary Ann Liebert Inc,10.1089,170911,22918,147993,FALSE,0,FALSE,0
22980,Morressier,10.26226,51129,22794,28335,FALSE,0,FALSE,0
33,ASME International,10.1115,261222,22375,238847,TRUE,0.954994440078735,TRUE,0.864331543445587
265,Institution of Engineering and Technology (IET),10.1049,242613,22232,220381,FALSE,0,FALSE,0
233,American Society of Clinical Oncology (ASCO),"10.14694, 10.1200",122573,21255,101318,TRUE,0.680075287818909,TRUE,0.510284423828125
7834,United Nations Publications,10.18356,138826,20771,118055,FALSE,0,FALSE,0
4443,PeerJ,"10.7287, 10.7717",41387,19840,21547,TRUE,0.438407272100449,TRUE,0.502714991569519
408,University of California Press,"10.1525, 10.2483, 10.2191",160431,19571,140860,TRUE,0.0645342618227005,TRUE,0.0245846938341856
2751,"Scientific Research Publishing, Inc.",10.4236,89808,18524,71284,FALSE,0,FALSE,0
13,American Geophysical Union (AGU),10.1029,230833,18424,212409,TRUE,0.102257922291756,TRUE,0.0104044554755092
127,S. Karger AG,10.1159,374829,18303,356526,FALSE,0,FALSE,0
5267,"Vandenhoeck & Ruprecht GmbH & Co, KG","10.13109, 10.14220",99540,18125,81415,FALSE,0,FALSE,0
8611,AME Publishing Company,10.21037,28652,17825,10827,FALSE,0,FALSE,0
30,American Society of Civil Engineers (ASCE),10.1061,156662,17381,139281,FALSE,0,FALSE,0
895,Dove Medical Press Ltd.,10.2147,51758,17378,34380,FALSE,0,FALSE,0
77,The Electrochemical Society,10.1149,153108,16999,136109,TRUE,0.00688275787979364,FALSE,0
10,American Medical Association (AMA),10.1001,607658,16959,590699,FALSE,0,FALSE,0
3774,IntechOpen,10.5772,66250,16542,49708,FALSE,0,FALSE,0
1387,American Institute of Aeronautics and Astronautics (AIAA),10.2514,265115,16537,248578,FALSE,0,FALSE,0
221,American Association for the Advancement of Science (AAAS),"10.34133, 10.1126",289518,16323,273195,TRUE,0.339459657669067,TRUE,0.00628488790243864
124,Japan Society of Mechanical Engineers,10.1299,308183,16098,292085,FALSE,0,FALSE,0
5471,Transcript Verlag,10.14361,32438,15301,17137,TRUE,0.00241814251057804,TRUE,0.00379296252503991
234,American Society of Hematology,10.1182,151487,15297,136190,TRUE,0.931359112262726,TRUE,0.900514006614685
235,American Society for Microbiology,10.1128,294863,14996,279867,TRUE,0.852027177810669,TRUE,0.43519601225853
6055,C.H. Beck,"10.17104, 10.15358",59500,14687,44813,TRUE,0.0267583578824997,TRUE,0.00861357152462006
257,Geological Society of America,10.1130,63466,14178,49288,TRUE,0.0414021722972393,TRUE,6.89823064021766e-4
2249,Spandidos Publications,10.3892,64423,13952,50471,TRUE,6.45068823359907e-4,FALSE,0
7437,IOS Press,10.3233,75048,13897,61151,FALSE,0,FALSE,0
7570,Medip Academy,10.18203,28276,13667,14609,TRUE,0.999926805496216,TRUE,0.456499427556992
200,University of Chicago Press,"10.7208, 10.5950, 10.1086",458433,13327,445106,FALSE,0,FALSE,0
861,Society of Petroleum Engineers (SPE),"10.7122, 10.2523, 10.2118, 10.4043",129307,13087,116220,FALSE,0,FALSE,0
4694,Sciencedomain International,10.9734,34557,12977,21580,TRUE,0.587500989437103,TRUE,1.39017603942193e-4
4230,Manchester University Press,"10.7228, 10.7227, 10.9760, 10.7765",42254,12700,29554,TRUE,0.101023621857166,TRUE,0.054273534566164
17,American Scientific Publishers,10.1166,64993,12667,52326,TRUE,0.195389598608017,TRUE,0.0296410955488682
2674,OMICS Publishing Group,"10.24105, 10.14303, 10.15412, 10.12715, 10.11131, 10.4172, 10.4066",98284,12630,85654,FALSE,0,FALSE,0
2457,"Trans Tech Publications, Ltd.",10.4028,385154,12609,372545,TRUE,0.973669588565826,TRUE,0.888198733329773
17106,The Russian Academy of Sciences,10.31857,13636,12353,1283,TRUE,0.16724681854248,TRUE,0.0303975064307451
281,MIT Press - Journals,"10.7551, 10.1162, 10.31859",96029,12323,83706,TRUE,0.154507830739021,TRUE,0.0188397485762835
5130,Mark Allen Group,10.12968,96436,11955,84481,TRUE,0.285989135503769,TRUE,1.06532832433004e-4
1010,JMIR Publications Inc.,10.2196,18134,11897,6237,TRUE,0.650247991085052,TRUE,0.166586503386497
4945,Hans Publishers,10.12677,25682,11834,13848,FALSE,0,FALSE,0
2918,Edward Elgar Publishing,10.4337,17994,11659,6335,TRUE,0.0215284321457148,FALSE,0
81,European Respiratory Society (ERS),10.1183,37309,11375,25934,TRUE,0.0930109918117523,TRUE,0.0454615578055382
2208,American Astronomical Society,10.3847,20055,11262,8793,FALSE,0,FALSE,0
5023,DEStech Publications,10.12783,24803,11219,13584,FALSE,0,FALSE,0
961,Cornell Laboratory of Ornithology,10.2173,13816,11145,2671,FALSE,0,FALSE,0
8703,IATED Academy,10.21125,19391,11140,8251,FALSE,0,FALSE,0
8426,Excellent Publishers,10.20546,17630,10915,6715,FALSE,0,FALSE,0
4802,Verlag Dr. Otto Schmidt,10.9785,31364,10697,20667,FALSE,0,TRUE,0.0189674366265535
19,American Thoracic Society,"10.34197, 10.1513, 10.1164, 10.1165",62001,10197,51804,FALSE,0,FALSE,0
73,Duke University Press,10.1215,133728,10017,123711,TRUE,0.11131077259779,TRUE,0.00133375369478017
4374,"eLife Sciences Publications, Ltd",10.7554,23062,9899,13163,TRUE,0.372057795524597,TRUE,0.347945004701614
416,Bioscientifica,10.1530,76022,9511,66511,TRUE,0.252234250307083,TRUE,0.461367279291153
4913,Magnolia Press,"10.11646, 10.12976",42658,9457,33201,TRUE,0.87638783454895,TRUE,0.562181890010834
341,Proceedings of the National Academy of Sciences,10.1073,144733,9409,135324,TRUE,0.825167417526245,TRUE,0.0779167041182518
960,Office of Scientific and Technical Information  (OSTI),10.2172,258612,9356,249256,FALSE,0,FALSE,0
1696,University of Toronto Press Inc. (UTPress),10.3138,137717,9266,128451,TRUE,0.00744657870382071,TRUE,1.7905660206452e-4
2914,Jaypee Brothers Medical Publishing,10.5005,109410,9214,100196,FALSE,0,FALSE,0
86,FASEB,10.1096,24647,8995,15652,FALSE,0,FALSE,0
2099,Shanghai Institute of Optics and Fine Mechanics,10.3788,45170,8925,36245,FALSE,0,FALSE,0
3433,Academy of Management,10.5465,52949,8824,44125,FALSE,0,FALSE,0
4498,Boehlau Verlag Ges.m.b.H. & Co. KG,"10.7767, 10.7788",94219,8785,85434,TRUE,1.13830392365344e-4,FALSE,0
3171,Scitepress,10.5220,39087,8741,30346,FALSE,0,FALSE,0
5427,American College of Gastroenterology,10.14309,53893,8679,45214,FALSE,0,FALSE,0
3486,Canadian Center of Science and Education,10.5539,42625,8375,34250,TRUE,0.99976122379303,TRUE,0.299970805644989
6225,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka),"10.15407, 10.22240",23842,8275,15567,TRUE,0.0534138977527618,TRUE,0.0106635829433799
11780,ASOS Yayinevi,"10.16989, 10.29228",23606,8118,15488,FALSE,0,FALSE,0
3407,ScopeMed Publishing,10.5455,23770,8066,15704,TRUE,0.0207041911780834,TRUE,0.0313932746648788
16089,Brill Deutschland GmbH,10.30965,74280,7968,66312,TRUE,0.0489457845687866,TRUE,0.0175684634596109
1757,John Benjamins Publishing Company,10.1075,80457,7916,72541,TRUE,0.351187467575073,TRUE,0.193421646952629
1697,Carl Hanser Verlag,10.3139,46586,7861,38725,FALSE,0,FALSE,0
175,The Royal Society,10.1098,92857,7754,85103,TRUE,0.105236008763313,TRUE,0.276394486427307
1167,American Diabetes Association,10.2337,49924,7636,42288,TRUE,0.0188580416142941,FALSE,0
3104,"Editora Edgard Blucher, Ltda.",10.5151,22406,7552,14854,FALSE,0,FALSE,0
5545,Science Publishing Corporation,10.14419,10336,7550,2786,TRUE,0.978675484657288,TRUE,0.566762387752533
7729,"Private Enterprise, Vladislav Ivanov",10.18411,10692,7549,3143,FALSE,0,FALSE,0
109,Institute for Operations Research and the Management Sciences (INFORMS),10.1287,38214,7496,30718,FALSE,0,FALSE,0
793,Springer Publishing Company,"10.1891, 10.20467",27234,7484,19750,TRUE,0.172768577933311,TRUE,0.416354417800903
2516,SciELO Agencia Nacional de Investigacion y Desarrollo (ANID),"10.19064, 10.4067",54597,7476,47121,FALSE,0,FALSE,0
4194,Consortium Erudit,10.7202,110275,7466,102809,TRUE,0.447897136211395,TRUE,0.326887726783752
1627,Allerton Press,10.3103,44666,7407,37259,FALSE,0,FALSE,0
80,The Endocrine Society,10.1210,108381,7377,101004,TRUE,0.479327648878098,TRUE,1.08906577224843e-4
9476,International Journal for Research in Applied Science and Engineering Technology (IJRASET),10.22214,9398,7369,2029,FALSE,0,FALSE,0
3964,Centre for Evaluation in Education and Science (CEON/CEES),"10.11643, 10.5937",25393,7307,18086,TRUE,0.0368140153586864,TRUE,0.0287515204399824
1078,National Library of Serbia,10.2298,44643,7237,37406,FALSE,0,FALSE,0
7770,Knowledge E,10.18502,8863,7206,1657,TRUE,0.62947541475296,TRUE,0.651176810264587
3979,"EMH Swiss Medical Publishers, Ltd.",10.4414,65955,7198,58757,FALSE,0,FALSE,0
231,Acoustical Society of America (ASA),10.1121,161524,7099,154425,FALSE,0,FALSE,0
3602,STEF92 Technology,10.5593,19582,7089,12493,FALSE,0,FALSE,0
3884,Philosophy Documentation Center,10.5840,149380,7026,142354,TRUE,0.220182180404663,TRUE,0.00893547106534243
2895,African Journals Online (AJOL),10.4314,63542,7000,56542,FALSE,0,FALSE,0
4359,Columbia University Press,10.7312,84827,6786,78041,FALSE,0,TRUE,0.00818800367414951
1643,Association for Computational Linguistics (ACL),"10.3115, 10.18653",28089,6755,21334,FALSE,0,FALSE,0
3689,Index Copernicus,10.5604,18644,6673,11971,TRUE,0.990259230136871,TRUE,0.346754670143127
24,American Physiological Society,10.1152,172387,6618,165769,TRUE,0.91870653629303,TRUE,0.800861418247223
2796,SAE International,10.4271,114875,6570,108305,FALSE,0,FALSE,0
11,American Economic Association,10.1257,20418,6551,13867,TRUE,0.0172492749989033,TRUE,0
9467,Universidad Nacional Autonoma de Mexico,"10.37568, 10.22201",39170,6529,32641,TRUE,0.691376924514771,TRUE,0.387120485305786
155,Canadian Science Publishing,10.1139,186435,6489,179946,TRUE,0.900601029396057,TRUE,0.907111048698425
7803,Valley International,10.18535,13541,6408,7133,TRUE,0.172128587961197,TRUE,7.00967328157276e-4
67,CSIRO Publishing,10.1071,92185,6339,85846,TRUE,0.866382718086243,TRUE,0.894380629062653
7078,"ZappyLab, Inc.",10.17504,9205,6321,2884,FALSE,0,FALSE,0
4873,"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",10.11606,49355,6234,43121,TRUE,0.883541882038116,TRUE,0.333433836698532
14,American Mathematical Society (AMS),10.1090,130935,6202,124733,FALSE,0,FALSE,0
329,International Union of Crystallography (IUCr),10.1107,148168,6127,142041,TRUE,0.666068196296692,TRUE,0.152779832482338
2321,American Institute of Mathematical Sciences (AIMS),10.3934,21221,6110,15111,FALSE,0,FALSE,0
613,Begell House,10.1615,46868,6106,40762,FALSE,0,FALSE,0
4492,"Cureus, Inc.",10.7759,8050,6059,1991,FALSE,0,FALSE,0
5855,Adam Mickiewicz University Poznan,10.14746,14980,5959,9021,TRUE,0.704816222190857,TRUE,0.0834719017148018
17787,Frontier Scientific Publishing Pte Ltd,10.32629,5943,5943,0,TRUE,0.996802985668182,FALSE,0
11818,Duke University Libraries,"10.17602, 10.29266, 10.7924",7555,5935,1620,FALSE,0,FALSE,0
4281,"International Institute for Science, Technology and Education",10.7176,5879,5843,36,FALSE,0,FALSE,0
4687,Akademizdatcenter Nauka,10.7868,46639,5825,40814,TRUE,0.144721031188965,TRUE,0.00935953389853239
2389,EAGE Publications,10.3997,54678,5822,48856,FALSE,0,FALSE,0
11790,Armenian Green Publishing Co.,10.29252,9208,5799,3409,FALSE,0,FALSE,0
7088,Tomsk State University,10.17223,13222,5794,7428,FALSE,0,FALSE,0
4858,Institute of Advanced Engineering and Science,10.11591,13877,5718,8159,TRUE,0.793634116649628,TRUE,0.406544923782349
1931,Edinburgh University Press,10.3366,47899,5659,42240,TRUE,0.608234643936157,TRUE,0.177414774894714
186,Society of Exploration Geophysicists,"10.7462, 10.1190, 10.4133",62023,5652,56371,TRUE,0.240622788667679,TRUE,0
