id,primary_name,count_current_type,deposits_abstracts_current,abstracts_current_type
78,Elsevier BV,2307761,TRUE,0
297,Springer Science and Business Media LLC,1751884,TRUE,0.01
301,Informa UK Limited,910593,TRUE,0
311,Wiley,876068,TRUE,0
263,Institute of Electrical and Electronics Engineers (IEEE),694048,TRUE,0.003
286,Oxford University Press (OUP),336050,TRUE,0.534
1968,MDPI AG,305876,TRUE,0.892
266,IOP Publishing,229070,FALSE,0
374,Walter de Gruyter GmbH,222457,TRUE,0.256
276,Ovid Technologies (Wolters Kluwer Health),221384,TRUE,0.024
179,SAGE Publications,219617,TRUE,0.49
1121,JSTOR,198550,FALSE,0
316,American Chemical Society (ACS),194490,TRUE,0.071
56,Cambridge University Press (CUP),148651,TRUE,0.387
292,Royal Society of Chemistry (RSC),121119,TRUE,0.864
194,Georg Thieme Verlag KG,107560,TRUE,0.299
17262,Qeios Ltd,103340,FALSE,0
3145,Copernicus GmbH,103146,TRUE,0.444
1965,Frontiers Media SA,97043,FALSE,0
246,Cold Spring Harbor Laboratory,93944,TRUE,0.966
1963,Organisation for Economic Co-Operation and Development  (OECD),90585,FALSE,0
239,BMJ,85825,TRUE,0.379
320,Association for Computing Machinery (ACM),85385,FALSE,0
140,Emerald,76530,TRUE,0.771
317,AIP Publishing,71394,FALSE,0
8761,Research Square,61988,TRUE,0.999
137,Pleiades Publishing Ltd,58623,TRUE,0.002
16,American Physical Society (APS),57911,FALSE,0
98,Hindawi Limited,57752,TRUE,0.969
408,University of California Press,57236,TRUE,0.053
15934,Center for Open Science,56815,TRUE,0.982
340,Public Library of Science (PLoS),55700,FALSE,0
1574,Atlantis Press,55638,TRUE,0
2581,Medknow,52903,TRUE,0.001
189,SPIE-Intl Soc Optical Eng,52620,FALSE,0
250,EDP Sciences,51873,TRUE,0.952
50,Brill,51558,TRUE,0.194
530,FapUNIFESP (SciELO),51316,TRUE,0.642
219,World Scientific Pub Co Pte Lt,50509,TRUE,0.514
3821,Nomos Verlag,45992,TRUE,0.06
9060,Egypts Presidential Specialized Council for Education and Scientific Research,41939,FALSE,0
285,The Optical Society,41736,FALSE,0
378,Inderscience Publishers,41442,FALSE,0
4434,Cornell University Press,40706,TRUE,0.043
2432,IGI Global,40532,TRUE,0.914
147,Project Muse,39306,FALSE,0
1086,American Association for Cancer Research (AACR),39276,FALSE,0
16470,Case Journals,38102,FALSE,0
2984,Bloomsbury Academic,38068,FALSE,0
2258,Pensoft Publishers,36339,TRUE,0.163
2399,OpenEdition,36134,FALSE,0
2273,CAIRN,35195,FALSE,0
4950,Faculty Opinions Ltd,33769,FALSE,0
7763,Worldwide Protein Data Bank,32984,FALSE,0
77,The Electrochemical Society,32683,TRUE,0.005
1096,IUCN,30688,FALSE,0
15,American Psychological Association (APA),30230,FALSE,0
965,Bentham Science Publishers Ltd.,30162,TRUE,0.598
