id,primary_name,count_current_type,deposits_abstracts_current,abstracts_current_type
78,Elsevier BV,2324824,TRUE,3.694903280120343e-4
297,Springer Science and Business Media LLC,1094814,TRUE,0.05805552378296852
311,Wiley,764551,TRUE,2.7074714307673275e-4
301,Informa UK Limited,446094,TRUE,2.0847623818553984e-4
1968,MDPI AG,324182,TRUE,0.9071601629257202
286,Oxford University Press (OUP),242714,TRUE,0.4810641407966614
266,IOP Publishing,241206,FALSE,0
276,Ovid Technologies (Wolters Kluwer Health),236672,TRUE,0.03411472588777542
263,Institute of Electrical and Electronics Engineers (IEEE),218978,TRUE,0
179,SAGE Publications,217554,TRUE,0.5453404784202576
316,American Chemical Society (ACS),182155,TRUE,0
292,Royal Society of Chemistry (RSC),124637,TRUE,0.8886606693267822
1965,Frontiers Media SA,106716,TRUE,0.01595824398100376
56,Cambridge University Press (CUP),99285,TRUE,0.6143727898597717
374,Walter de Gruyter GmbH,81591,TRUE,0.7407925128936768
194,Georg Thieme Verlag KG,67021,TRUE,0.5094820857048035
239,BMJ,62647,TRUE,0.5809216499328613
98,Hindawi Limited,62207,TRUE,0.9693442583084106
137,Pleiades Publishing Ltd,61326,TRUE,0.0022828816436231136
16,American Physical Society (APS),61228,FALSE,0
340,Public Library of Science (PLoS),59927,TRUE,0.022110234946012497
2581,Medknow,56499,TRUE,0.0010265668388456106
250,EDP Sciences,56191,TRUE,0.9577334523200989
530,FapUNIFESP (SciELO),53959,TRUE,0.6644303798675537
140,Emerald,52692,TRUE,0.9438624382019043
9060,Egypts Presidential Specialized Council for Education and Scientific Research,47807,TRUE,0.0015478904824703932
378,Inderscience Publishers,44912,FALSE,0
317,AIP Publishing,41315,FALSE,0
147,Project Muse,40802,TRUE,0
16470,Case Journals,38102,FALSE,0
2273,CAIRN,37069,FALSE,0
2399,OpenEdition,36294,FALSE,0
77,The Electrochemical Society,32817,TRUE,0
965,Bentham Science Publishers Ltd.,29961,TRUE,0.6620940566062927
219,World Scientific Pub Co Pte Lt,29413,TRUE,0.9356406927108765
278,Mary Ann Liebert Inc,29010,TRUE,0.0031368492636829615
21590,Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP,28677,TRUE,0.9996861815452576
233,American Society of Clinical Oncology (ASCO),27318,TRUE,0.755179762840271
285,The Optical Society,27259,FALSE,0
895,Dove Medical Press Ltd.,23325,FALSE,0
2751,"Scientific Research Publishing, Inc.",22964,FALSE,0
13,American Geophysical Union (AGU),22949,TRUE,0.09917643666267395
8611,AME Publishing Company,22344,FALSE,0
10,American Medical Association (AMA),21159,FALSE,0
15,American Psychological Association (APA),21082,FALSE,0
265,Institution of Engineering and Technology (IET),20787,FALSE,0
127,S. Karger AG,20660,TRUE,0.44569215178489685
221,American Association for the Advancement of Science (AAAS),20643,TRUE,0.380952388048172
124,Japan Society of Mechanical Engineers,20369,FALSE,0
17106,The Russian Academy of Sciences,19556,TRUE,0.10707711428403854
234,American Society of Hematology,19328,TRUE,0.9176324605941772
50,Brill,18967,TRUE,0.5864923000335693
235,American Society for Microbiology,17844,TRUE,0.885675847530365
3145,Copernicus GmbH,17701,TRUE,0.9926557540893555
7437,IOS Press,17288,TRUE,0.14246876537799835
7570,Medip Academy,16996,TRUE,0.9999411702156067
4694,Sciencedomain International,16979,TRUE,0.6930325627326965
2249,Spandidos Publications,16899,TRUE,5.325758829712868e-4
2457,"Trans Tech Publications, Ltd.",15328,TRUE,0.9997390508651733
4945,Hans Publishers,15185,FALSE,0
200,University of Chicago Press,14981,FALSE,0
17,American Scientific Publishers,14387,TRUE,0.3184124529361725
5130,Mark Allen Group,14174,TRUE,0.3528996706008911
