id,primary_name,count_current_type,deposits_abstracts_current,abstracts_current_type
297,Springer Science and Business Media LLC,728460,TRUE,0.01770996348461137
301,Informa UK Limited,400711,TRUE,0
1121,JSTOR,301138,FALSE,0
374,Walter de Gruyter GmbH,255739,TRUE,0
78,Elsevier BV,127098,TRUE,0
2984,Bloomsbury Academic,64266,TRUE,0
286,Oxford University Press (OUP),64146,TRUE,0.9020203909830699
56,Cambridge University Press (CUP),54772,TRUE,0
3821,Nomos Verlag,51607,TRUE,0
7832,NYU Press,37654,TRUE,0.006825304084559409
2432,IGI Global,33940,TRUE,0.9981732469063052
9818,Atena Editora,30459,TRUE,0
50,Brill,28300,TRUE,0
250,EDP Sciences,24549,TRUE,0
5471,Transcript Verlag,23514,TRUE,0.04159224291911202
5164,Yale University Press,18571,TRUE,0.04937806257067471
2918,Edward Elgar Publishing,17367,TRUE,0
7834,United Nations Publications,17235,FALSE,0
219,World Scientific Pub Co Pte Ltd,16791,TRUE,0
6055,Verlag C.H.Beck oHG,15791,TRUE,0
3774,IntechOpen,15224,TRUE,0.6898975302154493
2399,OpenEdition,15128,TRUE,0
140,Emerald,12504,TRUE,0
194,Georg Thieme Verlag KG,12468,TRUE,0.01203079884504331
16089,Brill Deutschland GmbH,12260,TRUE,0
20809,Rutgers University Press,10943,FALSE,0
2273,CAIRN,10794,FALSE,0
4230,Manchester University Press,10597,TRUE,0
408,University of California Press,9630,TRUE,1.038421599169263e-4
281,MIT Press,7845,TRUE,0
4434,Cornell University Press,7725,TRUE,0.3751456310679612
4694,Sciencedomain International,7464,TRUE,0
165,Bristol University Press,7145,TRUE,0.3753673897830651
1696,University of Toronto Press Inc. (UTPress),7112,TRUE,0
24862,Editora Cientifica Digital,6647,TRUE,1.504438092372499e-4
1963,Organisation for Economic Co-Operation and Development (OECD),6540,FALSE,0
4359,Columbia University Press,6189,FALSE,0
5267,"Vandenhoeck & Ruprecht GmbH & Co, KG",6103,FALSE,0
11875,Even3,6097,TRUE,1.640150893882237e-4
73,Duke University Press,5948,TRUE,0
1697,Carl Hanser Verlag,5746,FALSE,0
793,Springer Publishing Company,5674,TRUE,0
23658,Editora Conhecimento Livre,5420,FALSE,0
21860,Editora Poisson,5304,TRUE,0
179,SAGE Publications,5162,TRUE,0
19460,Haufe-Lexware GmbH and Co. KG,5078,FALSE,0
7597,Brepols Publishers NV,4910,TRUE,0
2652,Harvard University Press,4649,FALSE,0
7437,IOS Press,4465,TRUE,0.9666293393057112
965,Bentham Science Publishers Ltd.,4366,TRUE,0.1108566193311956
4759,University of Pennsylvania Press,4127,FALSE,0
4802,Verlag Dr. Otto Schmidt,4073,FALSE,0
1757,John Benjamins Publishing Company,3115,TRUE,0
