id,primary_name,count_current_type,deposits_abstracts_current,abstracts_current_type
297,Springer Science and Business Media LLC,37028,TRUE,0
301,Informa UK Limited,15551,TRUE,0
374,Walter de Gruyter GmbH,10944,TRUE,0
78,Elsevier BV,4676,TRUE,0
286,Oxford University Press (OUP),4552,TRUE,0.9850615114235501
1965,Frontiers Media SA,4414,TRUE,6.796556411418215e-4
1968,MDPI AG,3822,TRUE,0
2030,"Peter Lang, International Academic Publishers",3312,TRUE,3.019323671497585e-4
28043,Editora Dialetica,3260,TRUE,0.002147239263803681
2504,Food and Agriculture Organization of the United Nations (FAO),3197,FALSE,0
10443,Editora CRV,2716,FALSE,0
9818,Atena Editora,2311,TRUE,4.327131112072696e-4
3774,IntechOpen,2180,TRUE,0
629,Mohr Siebeck,2059,FALSE,0
7832,NYU Press,1988,TRUE,0.01358148893360161
2432,IGI Global,1674,TRUE,0
11875,Even3,1568,TRUE,0
4276,Rand Corporation,1476,FALSE,0
1963,Organisation for Economic Co-Operation and Development (OECD),1472,FALSE,0
7834,United Nations Publications,1351,FALSE,0
56,Cambridge University Press (CUP),1251,TRUE,0.745003996802558
311,Wiley,1121,TRUE,0
558,World Bank,1090,FALSE,0
5164,Yale University Press,1017,TRUE,0.09046214355948869
179,SAGE Publications,1001,TRUE,0.00899100899100899
3821,Nomos Verlag,975,TRUE,0.9876923076923076
2918,Edward Elgar Publishing,960,TRUE,0.02916666666666667
5106,Infra-M Academic Publishing House,934,TRUE,0.9957173447537473
219,World Scientific Pub Co Pte Ltd,925,TRUE,0
9531,AkiNik Publications,925,TRUE,0
6987,The National Academies Press,917,FALSE,0
140,Emerald,916,TRUE,0
2984,Bloomsbury Academic,757,TRUE,0.7225891677675033
4694,Sciencedomain International,748,TRUE,0
250,EDP Sciences,669,TRUE,0.008968609865470852
9614,Editora Fi,616,FALSE,0
6169,Universidad Santo Tomas,599,TRUE,0.01335559265442404
20809,Rutgers University Press,569,FALSE,0
5519,Numerique Premium,502,FALSE,0
50,Brill,497,TRUE,0
