id,primary_name,count_current_type,deposits_abstracts_current,abstracts_current_type
297,Springer Science and Business Media LLC,559964,TRUE,0.0242229857633705
301,Informa UK Limited,287655,TRUE,0
1121,JSTOR,227666,FALSE,0
374,Walter de Gruyter GmbH,168355,TRUE,0
78,Elsevier BV,104638,TRUE,0
2984,Bloomsbury Academic,59528,TRUE,0
286,Oxford University Press (OUP),47341,TRUE,0.9744830062736317
56,Cambridge University Press (CUP),44769,TRUE,0
3821,Nomos Verlag,44661,TRUE,0
2432,IGI Global,26179,TRUE,0.9977462851904197
50,Brill,21963,TRUE,0
9818,Atena Editora Edição de Livros Ltda,20439,TRUE,0
5471,Transcript Verlag,19028,TRUE,0.05507672903090183
7834,United Nations Publications,15525,FALSE,0
16089,Brill Deutschland GmbH,14279,TRUE,0
2918,Edward Elgar Publishing,14242,TRUE,0
219,World Scientific Pub Co Pte Ltd,12996,TRUE,0
3774,IntechOpen,12624,TRUE,0.9736216730038023
6055,Verlag C.H.Beck oHG,12438,TRUE,0
2399,OpenEdition,11638,FALSE,0
7832,NYU Press,11458,TRUE,0.0286262873101763
140,Emerald,10541,TRUE,0
2273,CAIRN,8989,FALSE,0
4694,Sciencedomain International,8638,TRUE,0
194,Georg Thieme Verlag KG,8519,TRUE,0.0170207770865125
165,Bristol University Press,8202,TRUE,0.2901731285052426
5164,Yale University Press,7441,TRUE,0.08923531783362451
408,University of California Press,7041,TRUE,1.42025280499929e-4
11875,Even3,6786,TRUE,0.03109342764515178
24862,Editora Cientifica Digital,6460,TRUE,1.547987616099071e-4
4230,Manchester University Press,6269,TRUE,0
281,MIT Press,6167,TRUE,0
20809,Rutgers University Press,5954,FALSE,0
4359,Columbia University Press,5802,FALSE,0
7437,IOS Press,5515,TRUE,0.9680870353581142
1696,University of Toronto Press Inc. (UTPress),5334,TRUE,0
1963,Organisation for Economic Co-Operation and Development (OECD),5162,FALSE,0
73,Duke University Press,4760,TRUE,0
1697,Carl Hanser Verlag,4413,FALSE,0
965,Bentham Science Publishers Ltd.,4042,TRUE,0.2832756061355764
7597,Brepols Publishers NV,3709,TRUE,0
12323,World Trade Organization,3520,FALSE,0
793,Springer Publishing Company,3332,TRUE,0
21860,Editora Poisson,3288,TRUE,0
19460,Haufe-Lexware GmbH and Co. KG,3285,FALSE,0
2652,Harvard University Press,3279,FALSE,0
179,SAGE Publications,3203,TRUE,0
4759,University of Pennsylvania Press,3174,FALSE,0
4802,Verlag Dr. Otto Schmidt,3077,FALSE,0
16537,Pimenta Cultural,2975,TRUE,0.001680672268907563
23658,Editora Conhecimento Livre,2813,FALSE,0
250,EDP Sciences,2794,TRUE,0
266,IOP Publishing,2512,TRUE,0
4434,Cornell University Press,2401,TRUE,0.8683881715951687
1931,Edinburgh University Press,2389,TRUE,0.8580996232733361
242,CABI Publishing,2304,TRUE,0.23828125
28402,VDI Verlag GmbH,2271,TRUE,0
292,Royal Society of Chemistry (RSC),2244,TRUE,0.4491978609625668
16987,Vervuert Verlag oHG,2234,TRUE,0
1757,John Benjamins Publishing Company,2230,TRUE,0
200,University of Chicago Press,2206,FALSE,0
11982,Publishing House Baltija Publishing,2145,TRUE,0.172027972027972
27115,Editora e-Publicar,2116,FALSE,0
6036,RWS Verlag GmbH,2105,TRUE,0
9289,"Channel View Publications, Ltd.",2044,TRUE,0
27363,AYA Editora,2033,TRUE,0
12270,Psychosozial-Verlag GmbH and Co. KG,2010,TRUE,0
26354,Rfb Editora,1918,FALSE,0
29384,Editora Amplla,1918,TRUE,0.01668404588112617
265,Institution of Engineering and Technology (IET),1860,FALSE,0
417,American Academy of Pediatrics (AAP),1837,TRUE,0.06042460533478498
530,FapUNIFESP (SciELO),1707,TRUE,0
31705,Brill Osterreich GmbH,1707,FALSE,0
5267,"Vandenhoeck & Ruprecht GmbH & Co, KG",1694,FALSE,0
16613,Realize Eventos Cientificos e Editora LTDA,1683,TRUE,0.9976232917409388
30764,South Florida Publishing LLC,1640,TRUE,6.097560975609756e-4
15,American Psychological Association (APA),1572,FALSE,0
28327,Arco Editores,1534,TRUE,0.001955671447196871
3180,Amsterdam University Press,1520,TRUE,0.9164473684210526
3287,The Pennsylvania State University Press,1517,TRUE,0
28043,Editora Dialetica,1497,FALSE,0
2165,Liverpool University Press,1458,TRUE,0.855281207133059
3779,University of Minnesota Press,1444,FALSE,0
16894,Gorgias Press LLC,1428,FALSE,0
22549,Fundacao Fenix,1425,TRUE,0
33854,Scientia Solucoes Digitais LTDA,1363,TRUE,0.08877476155539252
5556,Michigan State University Press,1305,TRUE,0
4211,University of Warsaw,1294,TRUE,0.06800618238021638
4442,University of Texas Press,1273,FALSE,0
3948,GN1 Sistemas e Publicacoes Ltd.,1269,TRUE,0
351,Society for Industrial & Applied Mathematics (SIAM),1262,FALSE,0
4923,Open Book Publishers,1217,TRUE,0.0780608052588332
10443,Editora CRV,1202,FALSE,0
26411,ICSP - New Science,1200,TRUE,8.333333333333333e-4
1574,Atlantis Press SARL,1187,TRUE,0.02274641954507161
3673,University of Illinois Press,1174,TRUE,0.5638841567291312
5425,University Press of Mississippi,1092,TRUE,0.8058608058608059
3104,"Editora Edgard Blucher, Ltda.",1038,TRUE,0
12144,Edizioni Ca Foscari,1035,TRUE,0.6628019323671498
26693,Editora Omnis Scientia,1033,FALSE,0
25375,International Science Group,1023,TRUE,0
14,American Mathematical Society (AMS),948,TRUE,0
34671,Seven Events,944,TRUE,0
358,Intellect,927,TRUE,0.08845738942826321
189,SPIE-Intl Soc Optical Eng,917,FALSE,0
23025,Editora Inovar,911,FALSE,0
9752,ANU Press,874,FALSE,0
7806,"Faculty of Philology, University of Belgrade",851,FALSE,0
4618,CEU Educational-Service Non-profit LLC,849,TRUE,0
558,World Bank,823,FALSE,0
23781,Editora Artemis,807,TRUE,0
28627,Uniedusul Editora,765,FALSE,0
317,AIP Publishing,759,TRUE,0
316,American Chemical Society (ACS),742,TRUE,0
4815,DETAIL Business Information GmbH,742,FALSE,0
9495,British Small Animal Veterinary Association,725,FALSE,0
5084,Ksiegarnia Akademicka Sp. z.o.o.,724,TRUE,0.5455801104972376
32105,Agron Food Academy,698,TRUE,0.7750716332378224
3749,University Press of Florida,697,TRUE,0.8407460545193687
22561,Editora Itacaiunas,689,TRUE,0
2580,AOSIS,674,TRUE,0
30151,Smt Vimla Devi Education Society,667,TRUE,0.7151424287856072
3380,Fordham University Press,665,TRUE,0.8571428571428571
36593,Frank & Timme GmbH,653,TRUE,0
26840,V & V Editora,646,TRUE,0.001547987616099071
4498,Boehlau Verlag Ges.m.b.H. & Co. KG,642,FALSE,0
25683,Pantanal Editora,639,FALSE,0
3910,University Press of Colorado,635,FALSE,0
8044,Uniwersytet Lodzki (University of Lodz),619,TRUE,0.2310177705977383
30656,Editora Dialogos,613,TRUE,0
3102,University of North Carolina Press (publisher),604,TRUE,0.7036423841059603
25667,Editions des archives contemporaines,593,TRUE,0.8161888701517707
10140,Narr Francke Attempto Verlag GmbH + Co. KG,586,TRUE,0
8249,Federal Center of Theoretical and Applied Sociology of the Russian Academy of Sciences (FCTAS RAS),585,TRUE,0.09914529914529915
945,IWA Publishing,579,TRUE,0.155440414507772
2869,Editora Cubo,565,TRUE,0
28677,Universidade Federal de Pernambuco,558,TRUE,0.007168458781362007
8434,Wits University Press,550,TRUE,0
22151,Faculdade de Filosofia e Ciências,537,TRUE,0
21822,Firenze University Press,524,TRUE,0.9732824427480916
9747,A. M. Gorky Institute of World Literature of the Russian Academy of Sciences,519,TRUE,0.9980732177263969
112,ISEAS - Yusof Ishak Institute,502,FALSE,0
21873,Liha-Pres,491,FALSE,0
10341,Princeton University Press,485,TRUE,0.8845360824742268
4169,Franco Angeli,475,TRUE,0
8180,Burleigh Dodds Science Publishing Limited,474,TRUE,0.9978902953586498
23908,University Bordeaux Montaigne,471,FALSE,0
8053,University of Maribor,456,TRUE,0.9978070175438596
9951,Cappelen Damm AS - Cappelen Damm Akademisk,454,TRUE,1
81,European Respiratory Society (ERS),449,TRUE,0
8939,ISTE Group,445,TRUE,1
26887,Editora In Vivo,443,FALSE,0
27242,Amplamente Cursos e Formacao Continuada,437,FALSE,0
20417,Stricto Sensu Editora,431,FALSE,0
21000,Verlag Julius Klinkhardt KG,427,TRUE,0.03044496487119438
894,American Society of Health-System Pharmacists,423,FALSE,0
8050,AFRICAN SUN MeDIA,423,TRUE,0
23502,Vide Leaf,405,FALSE,0
27836,Epitaya Propriedade Intelectual e Editora LTDA,405,FALSE,0
5302,Harrassowitz Publishing House,403,TRUE,0
30480,Encontrografia Editora Ltda,402,TRUE,0.03482587064676617
9283,University of Minho,399,TRUE,0.09273182957393485
3895,British Academy,392,TRUE,0.8596938775510204
20913,MARES EDITORES,387,TRUE,0
27946,Universidad de los Andes - Ediciones Uniandes,385,TRUE,0
11924,Navegando Publicacoes,379,FALSE,0
31155,Bookerfield,374,TRUE,0.983957219251337
127,S. Karger AG,371,TRUE,0
5739,Coimbra University Press,370,TRUE,0.7621621621621621
16235,Institute of Slavic Studies of the Russian Academy of Sciences,363,TRUE,0.7465564738292011
3827,University Press of Kentucky,358,TRUE,0.7849162011173184
735,Thomas Telford Ltd.,356,TRUE,0
257,Geological Society of America,354,TRUE,0.9463276836158192
11192,Istanbul University,353,FALSE,0
18453,Geotar-Media Publishing Group,349,TRUE,0.01146131805157593
22117,Ludomedia Unipessoal Lda,348,TRUE,0.3735632183908046
17931,MWV Medizinisch Wissenschaftliche Verlagsgesellschaft mbH and Co. KG,345,TRUE,0.002898550724637681
23,American Pharmacists Association,337,FALSE,0
381,ASTM International,336,TRUE,0
7550,Universidad Castilla la Mancha,327,TRUE,0.07033639143730887
24095,WTM-Verlag,326,TRUE,0.9079754601226994
10770,Universitatsverlag Gottingen,310,TRUE,0
16438,Publishing House Sreda,310,TRUE,0.7032258064516129
19989,Universidade Estadual de Alagoas,309,TRUE,0
25876,Editora Ilustracao,304,TRUE,0
320,Association for Computing Machinery (ACM),303,TRUE,0
6464,Pontifical University of John Paul II in Krakow,303,TRUE,0
30,American Society of Civil Engineers (ASCE),301,TRUE,0
9191,"Materials Research Forum, LLC",288,TRUE,0.9895833333333333
9982,Centro Latino-Americano de Estudos em Cultura - CLAEC,284,TRUE,0
21203,Exon Publications,284,FALSE,0
11033,University of Primorska Press,281,TRUE,0.04270462633451957
5722,Research-Publishing.net,278,TRUE,0.9964028776978417
844,American Public Health Association,272,TRUE,0
23835,The WAC Clearinghouse,272,FALSE,0
24499,The Nelson-Atkins Museum of Art,268,TRUE,0
34610,Fagbokforlaget Vigmostad & Bjorke,261,TRUE,0
7352,Universidade da Coruna,247,TRUE,0.9757085020242915
8859,Wageningen Academic Publishers,241,TRUE,0
31230,Institute of Archaeology of the Russian Academy of Sciences,233,TRUE,0
31467,Editora Creative,229,FALSE,0
16852,International Journal Education and Teaching,221,TRUE,0.5520361990950226
21213,Brazilian Journal - Publicacoes e Editora,220,TRUE,0.01818181818181818
28892,DP Express-obyava,217,TRUE,0.1981566820276498
1378,DAAAM International,216,TRUE,0
26730,"Revista Praticas Educativas, Memorias e Oralidades",210,TRUE,0
31127,Akademia Techniczno-Humanistyczna w Bielsku-Bialej,208,FALSE,0
7994,Poznan University of Economics,206,TRUE,0.9077669902912621
4811,Stanford University Press,204,TRUE,0.8872549019607843
3798,Hong Kong University Press,202,TRUE,0.801980198019802
28687,Ministerio Publico do Trabalho,195,FALSE,0
31476,Literacia Cientifica Editora & Cursos,195,TRUE,0.641025641025641
33,ASME International,190,TRUE,0.6578947368421053
4687,Akademizdatcenter Nauka,189,TRUE,0.9947089947089947
6950,"Faculty of Humanities and Social Sciences, University of Zagreb",188,TRUE,0
14882,New Delhi Publishers,186,TRUE,0
14553,ASM International,185,TRUE,0.7459459459459459
1387,American Institute of Aeronautics and Astronautics (AIAA),182,TRUE,0
9784,Universidad Nacional Abierta y a Distancia,177,TRUE,0.3954802259887006
2673,European Mathematical Society - EMS - Publishing House GmbH,176,FALSE,0
6601,Stockholm University Press,176,TRUE,0.4431818181818182
9634,University of Latvia,173,TRUE,0.8265895953757225
28869,University of Ljubljana,173,TRUE,0
2363,The Research Center of the Slovenian Academy of Sciences and Arts (ZRC SAZU),172,TRUE,0
32440,Texto e Contexto Editora,170,TRUE,0.8705882352941176
14482,British Psychological Society,167,TRUE,0
24947,University Library in Kragujevac,163,TRUE,1
26283,Invepy y Asociados S.C.,163,TRUE,0
4512,Russell Sage Foundation,161,FALSE,0
432,Now Publishers,160,FALSE,0
5067,Editorial Universidad de Sevilla,160,TRUE,1
27023,Deutscher Arzteverlag GmbH,160,TRUE,0
230,American Psychiatric Association Publishing,156,FALSE,0
9479,Carleton University,156,TRUE,0
28676,Editora ZH4,156,TRUE,0.9358974358974359
