id,primary_name,count_current_type,deposits_abstracts_current,abstracts_current_type
1121,JSTOR,14183,FALSE,0
301,Informa UK Limited,14136,TRUE,0
56,Cambridge University Press (CUP),3727,TRUE,0.9720955191843306
558,World Bank,2778,FALSE,0
3821,Nomos Verlag,2772,TRUE,0.9989177489177489
2984,Bloomsbury Academic,2731,TRUE,0
50,Brill,2431,TRUE,0
2030,"Peter Lang, International Academic Publishers",2309,TRUE,0.7527067994802945
16089,Brill Deutschland GmbH,1124,TRUE,0
311,Wiley,985,TRUE,0
219,World Scientific Pub Co Pte Ltd,980,TRUE,0
7834,United Nations Publications,845,FALSE,0
5471,Transcript Verlag,751,TRUE,1
38522,W. Kohlhammer GmbH,718,FALSE,0
1963,Organisation for Economic Co-Operation and Development (OECD),671,FALSE,0
6055,Verlag C.H.Beck oHG,637,TRUE,0
165,Bristol University Press,590,TRUE,0.4288135593220339
32956,utb GmbH,534,TRUE,0.9943820224719101
4873,"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",523,TRUE,0.9980879541108987
200,University of Chicago Press,516,FALSE,0
2918,Edward Elgar Publishing,505,TRUE,0.01188118811881188
1959,Linkoping University Electronic Press,471,TRUE,0.01061571125265393
6169,Universidad Santo Tomas,469,TRUE,0.8166311300639659
2399,OpenEdition,443,TRUE,0
23880,Academician Publishing,411,TRUE,0
2101,Duncker & Humblot GmbH,398,TRUE,0
147,Project MUSE,365,TRUE,0
194,Georg Thieme Verlag KG,364,TRUE,0
1697,Carl Hanser Verlag,351,FALSE,0
2393,University of Michigan Library,345,TRUE,0.01739130434782609
27363,AYA Editora,327,TRUE,0.003058103975535168
4230,Manchester University Press,317,TRUE,0
4694,Sciencedomain International,305,TRUE,0
25351,Wochenschau Verlag Dr. Kurt Debus GmbH,271,TRUE,0.996309963099631
281,MIT Press,239,TRUE,0
10523,Schwabe Verlagsgruppe AG,237,TRUE,0.970464135021097
101,Hogrefe Publishing Group,233,TRUE,0.6909871244635193
19460,Haufe-Lexware GmbH and Co. KG,228,TRUE,0
6952,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),226,TRUE,0
10140,Narr Francke Attempto Verlag GmbH + Co. KG,224,TRUE,0.1651785714285714
1560,Indiana University Press,220,FALSE,0
266,IOP Publishing,214,TRUE,0
6872,"National Research University, Higher School of Economics (HSE)",201,TRUE,0.9353233830845771
29737,"Nova Science Publishers, Inc.",198,TRUE,0
31242,Wydawnictwo Naukowe PWN SA,171,FALSE,0
8100,Sistema de Bibliotecas PUCP,168,TRUE,1
5388,Colegio Mayor de Nuestra Senora del Rosario,165,TRUE,0.4363636363636364
11055,Eleyon Publishers,156,TRUE,1
5084,Ksiegarnia Akademicka Sp. z.o.o.,144,TRUE,0.8680555555555556
7597,Brepols Publishers NV,144,TRUE,0
6027,Universidad de Santiago de Compostela,143,TRUE,0
179,SAGE Publications,142,TRUE,0.02112676056338028
7091,Verlag Barbara Budrich GmbH,137,TRUE,0.708029197080292
16438,Publishing House Sreda,137,TRUE,0
127,S. Karger AG,136,TRUE,0
432,Now Publishers,129,FALSE,0
5307,National Research and Innovation Agency,129,TRUE,1
3779,University of Minnesota Press,123,FALSE,0
4211,University of Warsaw,123,TRUE,0.8048780487804879
11982,Publishing House Baltija Publishing,123,TRUE,0.1788617886178862
2432,IGI Global,118,TRUE,0
1748,Berghahn Books,117,TRUE,0.9914529914529915
12270,Psychosozial-Verlag GmbH and Co. KG,108,TRUE,0.9907407407407407
5855,Adam Mickiewicz University Poznan,106,TRUE,0.009433962264150943
12318,BAR Publishing,105,TRUE,0.4476190476190476
530,FapUNIFESP (SciELO),103,TRUE,1
5267,"Vandenhoeck & Ruprecht GmbH & Co, KG",103,FALSE,0
9811,Universidad Tecnologica de Pereira - UTP,102,TRUE,0.8725490196078431
30826,Australian Institute of Criminology,102,TRUE,1
2273,CAIRN,101,FALSE,0
965,Bentham Science Publishers Ltd.,99,TRUE,0.404040404040404
11632,Dr. Ludwig Reichert Verlag,96,FALSE,0
31705,Brill Osterreich GmbH,96,FALSE,0
3461,Palacky University Olomouc,95,FALSE,0
23521,Erich Schmidt Verlag GmbH & Co. KG,95,TRUE,1
7673,BIBLIO-GLOBUS Publishing House,94,FALSE,0
1096,IUCN,93,TRUE,0.5376344086021505
11719,Afghanistan Centre at Kabul University,92,FALSE,0
14,American Mathematical Society (AMS),91,TRUE,0
28869,University of Ljubljana,91,TRUE,0.03296703296703297
1757,John Benjamins Publishing Company,90,TRUE,0.1666666666666667
