id,primary_name,count_current_type,deposits_abstracts_current,abstracts_current_type
1086,American Association for Cancer Research (AACR),250824,TRUE,1
8761,Research Square Platform LLC,158297,TRUE,1
78,Elsevier BV,116823,TRUE,0
246,Cold Spring Harbor Laboratory,96388,TRUE,0.9999273768518903
15934,Center for Open Science,54642,TRUE,0.9998169905933165
3145,Copernicus GmbH,45653,TRUE,0.9270365583860863
1968,MDPI AG,27936,TRUE,1
9829,"Authorea, Inc.",22025,TRUE,0.8414074914869467
316,American Chemical Society (ACS),14968,TRUE,0.8886958845537146
263,Institute of Electrical and Electronics Engineers (IEEE),12852,TRUE,0.9924525365701836
7078,"ZappyLab, Inc.",10230,TRUE,0.9997067448680352
1010,JMIR Publications Inc.,8924,TRUE,0.9964141640519946
18300,Ryerson University Library and Archives,8516,TRUE,1
22980,Morressier,7925,FALSE,0
311,Wiley,3611,TRUE,0.02243145942952091
29705,California Digital Library (CDL),2790,TRUE,0.907168458781362
4374,"eLife Sciences Publications, Ltd",2511,TRUE,1
8674,Universitas Muhammadiyah Sidoarjo,2497,TRUE,0
257,Geological Society of America,2221,TRUE,1
31795,Front Matter,2028,TRUE,0.92603550295858
1167,American Diabetes Association,1974,TRUE,1
17262,Qeios Ltd,1847,TRUE,0.9967514889009204
285,Optica Publishing Group,1524,TRUE,1
56,Cambridge University Press (CUP),1366,TRUE,1
530,FapUNIFESP (SciELO),1328,TRUE,1
5403,ScienceOpen,1011,TRUE,0.9742828882294758
33966,Open Engineering Inc,987,TRUE,0.02735562310030395
26239,Applied Energy Innovation Institute (AEii),943,FALSE,0
30676,Cassyni,925,TRUE,0.9513513513513514
179,SAGE Publications,905,TRUE,1
345,Microbiology Society,563,TRUE,1
37285,Polygence,510,FALSE,0
11875,Even3,491,TRUE,0.670061099796334
25732,Universitatsbibliothek Bamberg,389,TRUE,0
2258,Pensoft Publishers,349,TRUE,1
10196,NPG Publishing,347,TRUE,1
14,American Mathematical Society (AMS),279,TRUE,0
237,The Company of Biologists,250,TRUE,0
8634,Russian Research Anti-Plague Institute Microbe,224,TRUE,1
28200,"Society for Transparency, Openness, and Replication in Kinesiology",221,TRUE,0
18353,Dominican University of California,206,TRUE,0
9794,Society for Artistic Research,195,FALSE,0
9621,PubPub,177,FALSE,0
2086,Beilstein Institut,160,TRUE,1
7822,Test accounts,160,TRUE,0
30474,North Carolina State University,130,FALSE,0
22755,University of the Free State,105,TRUE,1
10409,Association of European Schools of Planning (AESOP),104,TRUE,0
10490,"Institute of Marine Engineering, Science and Technology (IMarEST)",103,FALSE,0
34139,Deep Science,101,FALSE,0
