"n","member_id","member_name","backfile_DOIs","backfile_DOIs_abstracts","backfile_journal_articles","backfile_journal_articles_abstracts"
"1","5007","University of Tartu Press","1484","0.366576820611954","1484","0.366576820611954"
"2","310","Westburn Publishers","973","0","973","0"
"3","183","Society for Leukocyte Biology","0","0",NA,NA
"4","283","NIDA/RTI International","171","0","163","0"
"5","309","Vathek Publishing","249","0","138","0"
"6","4922","The Korean Society for Heat Treatment","120","0","120","0"
"7","4996","Quanta","29","0.103448279201984","29","0.103448279201984"
"8","371","Indiana University Press (Project Muse)","0","0",NA,NA
"9","390","Surface Analysis Society of Japan","245","0","245","0"
"10","4919","Korean Association of Agricultural Extension","190","0","190","0"
"11","2060","Baishideng Publishing Group Inc.","33266","0","33266","0"
"12","3822","Digital Journal of Opthalmology","124","0","124","0"
"13","3823","Editora Unicentro","65","0","60","0"
"14","1","Annals of Family Medicine","1777","0","1777","0"
"15","3","American Association of Physics Teachers (AAPT)","39510","0","38894","0"
"16","10","American Medical Association (AMA)","586146","0","586146","0"
"17","12","American Meteorological Society","109802","0","109802","0"
"18","15","American Psychological Association (APA)","638095","0","244665","0"
"19","16","American Physical Society (APS)","599253","0","598903","0"
"20","17","American Scientific Publishers","44181","0","44181","0"
"21","21","Medical Association of Nippon Medical School","7399","0","7399","0"
"22","24","American Physiological Society","163371","0.799229979515076","163371","0.799229979515076"
"23","37","American Society of Plant Biologists (ASPB)","37694","0","37694","0"
"24","46","Blackhorse Publishing","0","0",NA,NA
"25","77","The Electrochemical Society","71237","0","59600","0"
"26","93","Springer Fachmedien Wiesbaden GmbH","12365","0","12365","0"
"27","108","Institute of Mathematical Statistics","24076","0","22805","0"
"28","116","Japanese Society of  Mammalian Ova Research","617","0","617","0"
"29","118","Japan Society of Equine Science","409","0","409","0"
"30","119","Japanese Society of Hypertension","1716","0","1716","0"
"31","120","Japanese Physical Therapy Association","177","0","177","0"
"32","121","Japanese Society of Toxicologic Pathology","1031","0","1031","0"
