"n","member_id","member_name","current_DOIs","current_DOIs_abstracts","current_journal_articles","current_journal_articles_abstracts"
"1","5007","University of Tartu Press","651","0.835637509822845","651","0.835637509822845"
"2","310","Westburn Publishers","180","0.0222222227603197","180","0.0222222227603197"
"3","183","Society for Leukocyte Biology","0","0",NA,NA
"4","283","NIDA/RTI International","0","0",NA,NA
"5","309","Vathek Publishing","0","0",NA,NA
"6","4922","The Korean Society for Heat Treatment","8","0","8","0"
"7","4996","Quanta","20","1","20","1"
"8","371","Indiana University Press (Project Muse)","0","0",NA,NA
"9","390","Surface Analysis Society of Japan","31","0","31","0"
"10","4919","Korean Association of Agricultural Extension","6","0","6","0"
"11","2060","Baishideng Publishing Group Inc.","5727","0","5727","0"
"12","3822","Digital Journal of Opthalmology","48","0","48","0"
"13","3823","Editora Unicentro","0","0",NA,NA
"14","1","Annals of Family Medicine","436","0","436","0"
"15","3","American Association of Physics Teachers (AAPT)","1663","0","1379","0"
"16","10","American Medical Association (AMA)","19306","0","19306","0"
"17","12","American Meteorological Society","6498","0","6498","0"
"18","15","American Psychological Association (APA)","29869","0","19980","0"
"19","16","American Physical Society (APS)","56996","0","56784","0"
"20","17","American Scientific Publishers","18572","0.0190071072429419","18572","0.0190071072429419"
"21","21","Medical Association of Nippon Medical School","328","0","328","0"
"22","24","American Physiological Society","7740","0.919250667095184","7740","0.919250667095184"
"23","37","American Society of Plant Biologists (ASPB)","2196","0","2196","0"
"24","46","Blackhorse Publishing","0","0",NA,NA
"25","77","The Electrochemical Society","8422","0.0105675607919693","8330","0"
"26","93","Springer Fachmedien Wiesbaden GmbH","465","0","465","0"
"27","108","Institute of Mathematical Statistics","2876","0","2876","0"
"28","116","Japanese Society of  Mammalian Ova Research","22","0","22","0"
"29","118","Japan Society of Equine Science","55","0","55","0"
"30","119","Japanese Society of Hypertension","0","0",NA,NA
"31","120","Japanese Physical Therapy Association","35","0","35","0"
"32","121","Japanese Society of Toxicologic Pathology","128","0","128","0"
"33","122","Japanese Society of Veterinary Science","974","0","974","0"
"34","124","Japan Society of Mechanical Engineers","18973","0","18973","0"
"35","125","Japanese Society for Pediatric Endocrinology","84","0","84","0"
"36","130","Thomas Land Publishers","111","0.0720720738172531","111","0.0720720738172531"
"37","155","Canadian Science Publishing","7940","0","7940","0"
"38","160","Penn State Press (Project Muse)","0","0",NA,NA
"39","163","Pharmaceutical Society of Japan","2026","0","2026","0"
"40","164","Pion Ltd","0","0",NA,NA
"41","170","Royal College of Psychiatrists","1848","0.579545438289642","1848","0.579545438289642"
"42","171","Royal College of Surgeons of England","1216","0","1216","0"
"43","175","The Royal Society","9380","0","9233","0"
"44","191","Swets & Zeitlinger Publishers","0","0",NA,NA
"45","192","Techno-Press","0","0",NA,NA
"46","222","American Association for Clinical Chemistry (AACC)","1285","0","1285","0"
"47","223","American Association on Intellectual and Developmental Disabilities (AAIDD)","335","0.053731344640255","335","0.053731344640255"
"48","225","American Association of Pharmaceutical Scientists (AAPS)","1159","0","1159","0"
"49","231","Acoustical Society of America (ASA)","9500","0","8835","0"
"50","232","American Society for Clinical Investigation","2833","0","2833","0"
"51","245","Chem-Bio Informatics Society","30","0","30","0"
"52","253","Project Euclid","77","0","62","0"
"53","260","The Haworth Press","0","0",NA,NA
"54","269","Japan Society for Bioscience, Biotechnology, and Agrochemistry","319","0","319","0"
"55","272","Japan Science and Technology Agency (JST)","0","0",NA,NA
"56","276","Ovid Technologies (Wolters Kluwer Health)","220427","9.0732988610398e-05","220414","9.07383364392444e-05"
"57","285","The Optical Society","43321","0","24930","0"
"58","288","Portland Press Ltd.","4044","0.94930762052536","4044","0.94930762052536"
"59","291","Rockefeller University Press","2052","0.929824590682983","2052","0.929824590682983"
"60","317","AIP Publishing","76107","0","40691","0"
"61","326","Genetics Society of Japan","90","0","90","0"
"62","332","Japanese Pharmacological Society","272","0","272","0"
"63","336","Japanese Society of Microbial Ecology","177","0","177","0"
"64","341","Proceedings of the National Academy of Sciences","11365","0.619357705116272","11365","0.619357705116272"
"65","353","Sigma Xi","341","0","341","0"
"66","378","Inderscience Publishers","42761","0","42761","0"
"67","382","Joule Inc.","2379","0","2379","0"
"68","385","International Society of Cytology","218","0","218","0"
