"issn","title","publisher","total_dois","current_dois","backfile_dois","deposits_abstracts_current","abstracts_current","deposits_abstracts_backfile","abstracts_backfile"
"1479-6805","Journal of Endocrinology","Bioscientifica",14652,319,14333,TRUE,0.981191217899323,TRUE,0.785320580005646
"1479-6813","Journal of Molecular Endocrinology","Bioscientifica",2434,189,2245,TRUE,0.973544955253601,TRUE,0.617817342281342
"1479-6821","Endocrine Related Cancer","Bioscientifica",2185,301,1884,TRUE,0.923588037490845,TRUE,0.747346043586731
"1365-2265","Clinical Endocrinology","Wiley (Blackwell Publishing)",10718,563,10155,FALSE,0,FALSE,0
"2049-3614","Endocrine Connections","Bioscientifica",699,410,289,TRUE,0.987804889678955,TRUE,0.941176474094391
"2052-0573","Endocrinology Diabetes and Metabolism Case Reports","Bioscientifica",495,182,313,TRUE,1,TRUE,1
"1469-9044","Review of International Studies","Cambridge University Press",1936,109,1827,TRUE,0.78899085521698,TRUE,0.743842363357544
"2057-5645","European Journal of International Security","Cambridge University Press",98,55,43,TRUE,0.654545426368713,TRUE,0.790697693824768
"1474-0648","Transactions of the Royal Historical Society","Cambridge University Press",2318,28,2290,TRUE,0.892857134342194,TRUE,0.517030596733093
"1478-5110","Camden Fifth Series","Cambridge University Press",820,63,757,TRUE,0.365079373121262,TRUE,0.585204780101776
"1234-5678","Proceedings of the London Mathematical Society","London Mathematical Society",7795,230,7565,FALSE,0,TRUE,0.0140118971467018
"1469-7750","Journal of the London Mathematical Society","London Mathematical Society",10649,218,10431,FALSE,0,TRUE,0.0059438212774694
"1469-2120","Bulletin of the London Mathematical Society","London Mathematical Society",7177,201,6976,FALSE,0,TRUE,0.0136181190609932
"2052-4986","Transactions of the London Mathematical Society","London Mathematical Society",35,12,23,FALSE,0,FALSE,0
"1753-8424","Journal of Topology","London Mathematical Society",623,97,526,FALSE,0,FALSE,0
"1570-5846","Compositio Mathematica","London Mathematical Society",1942,211,1731,TRUE,0.763033151626587,TRUE,0.430964767932892
"2041-7942","Mathematika","London Mathematical Society",2203,129,2074,TRUE,0.0465116277337074,FALSE,0
"1361-6544","Nonlinearity","IOP Publishing",3910,446,3464,FALSE,0,FALSE,0
"1468-4829","Russian Mathematical Surveys","Turpion ",5178,108,5070,FALSE,0,FALSE,0
"1468-4810","Izvestiya Mathematics","Turpion ",1450,133,1317,FALSE,0,FALSE,0
"1468-4802","Sbornik Mathematics","Turpion ",2281,175,2106,FALSE,0,FALSE,0
"1547-738X","Transactions of the Moscow Mathematical Society","American Mathematical Society",160,11,149,FALSE,0,FALSE,0
"1460-2172","Rheumatology","Oxford University Press",19511,2972,16539,TRUE,0.158479139208794,TRUE,0.00018138944869861
"2514-1775","Rheumatology Advances in Practice","Oxford University Press",329,263,66,TRUE,0.376425862312317,FALSE,0
"1557-0681","Musculoskeletal Care","Wiley (John Wiley & Sons)",638,136,502,FALSE,0,FALSE,0
"1522-9645","European Heart Journal","Oxford University Press",39824,10619,29205,TRUE,0.425934642553329,TRUE,0.000205444273888133
"1755-3245","Cardiovascular Research","Oxford University Press",14121,1176,12945,TRUE,0.196428567171097,TRUE,0.00216299737803638
"2058-1742","European Heart Journal - Quality of Care and Clinical Outcomes","Oxford University Press",288,145,143,TRUE,0.379310339689255,TRUE,0.00699300691485405
"2514-2119","European Heart Journal - Case Reports","Oxford University Press",448,430,18,TRUE,0.474418610334396,FALSE,0
"2055-6845","European Heart Journal - Cardiovascular Pharmacotherapy","Oxford University Press",311,145,166,TRUE,0.372413784265518,FALSE,0
"2047-2412","European Heart Journal - Cardiovascular Imaging","Oxford University Press",4874,2402,2472,TRUE,0.562864303588867,TRUE,0.000404530757805333
