"id","primary_name","prefixes","total.dois","current.dois","backfile.dois","flags.deposits.abstracts.current","coverge.abstracts.current","flags.deposits.abstracts.backfile","coverge.abstracts.backfile"
310,"Westburn Publishers","10.1362","1172","124","1048","TRUE","0.209677413105965","FALSE","0"
183,"Society for Leukocyte Biology","10.1189","0","0","0","FALSE","0","FALSE","0"
283,"NIDA/RTI International","10.1151","171","0","171","FALSE","0","FALSE","0"
309,"Vathek Publishing","10.1350","249","0","249","FALSE","0","FALSE","0"
4922,"The Korean Society for Heat Treatment","10.12656","128","0","128","FALSE","0","FALSE","0"
4996,"Quanta","10.12743","51","16","35","TRUE","1","TRUE","0.257142871618271"
371,"Indiana University Press (Project Muse)","10.1490","0","0","0","FALSE","0","FALSE","0"
390,"Surface Analysis Society of Japan","10.1384","276","12","264","FALSE","0","FALSE","0"
4919,"Korean Association of Agricultural Extension","10.12653","196","0","196","FALSE","0","FALSE","0"
2060,"Baishideng Publishing Group Inc.","10.37126, 10.13105, 10.35713, 10.35712, 10.35711, 10.12998, 10.11569, 10.3748, 10.4292, 10.4291, 10.4252, 10.4253, 10.4251, 10.4254, 10.4330, 10.4331, 10.5662, 10.4329, 10.5496, 10.5495, 10.5494, 10.5493, 10.5499, 10.5498, 10.5497, 10.5492, 10.4239, 10.4240, 10.5501, 10.5500, 10.5528, 10.5527, 10.5409, 10.5412, 10.5411, 10.5410, 10.5306, 10.5317, 10.5316, 10.5315, 10.5314, 10.5319, 10.5318, 10.5313, 10.5312, 10.5320, 10.5321","39524","3763","35761","FALSE","0","FALSE","0"
3822,"Digital Journal of Opthalmology","10.5693","177","24","153","FALSE","0","FALSE","0"
3823,"Editora Unicentro","10.5777","65","0","65","FALSE","0","FALSE","0"
1,"Annals of Family Medicine","10.1370","2253","330","1923","FALSE","0","FALSE","0"
3,"American Association of Physics Teachers (AAPT)","10.1119","41394","1459","39935","FALSE","0","FALSE","0"
10,"American Medical Association (AMA)","10.1001","605733","15058","590675","FALSE","0","FALSE","0"
12,"American Meteorological Society","10.1175","116534","4709","111825","TRUE","0.795922696590424","TRUE","0.187042251229286"
15,"American Psychological Association (APA)","10.1037, 10.5084","619600","22974","596626","FALSE","0","FALSE","0"
16,"American Physical Society (APS)","10.29172, 10.1103","661621","42850","618771","FALSE","0","FALSE","0"
17,"American Scientific Publishers","10.1166","63473","11678","51795","TRUE","0.129302963614464","TRUE","0.0035910801962018"
21,"Medical Association of Nippon Medical School","10.1272","7778","257","7521","FALSE","0","FALSE","0"
24,"American Physiological Society","10.1152","171755","5987","165768","TRUE","0.922498762607574","TRUE","0.800860226154327"
37,"American Society of Plant Biologists (ASPB)","10.1104, 10.1105","39858","1598","38260","FALSE","0","FALSE","0"
46,"Blackhorse Publishing","10.1066","0","0","0","FALSE","0","FALSE","0"
77,"The Electrochemical Society","10.1149","80455","5888","74567","TRUE","0.0176630429923534","FALSE","0"
93,"Springer Fachmedien Wiesbaden GmbH","10.1365","12884","374","12510","FALSE","0","FALSE","0"
108,"Institute of Mathematical Statistics","10.1214","27195","2181","25014","FALSE","0","FALSE","0"
116,"Japanese Society of  Mammalian Ova Research","10.1274","639","11","628","FALSE","0","FALSE","0"
118,"Japan Society of Equine Science","10.1294","470","37","433","FALSE","0","FALSE","0"
119,"Japanese Society of Hypertension","10.1291","1716","0","1716","FALSE","0","FALSE","0"
120,"Japanese Physical Therapy Association","10.1298","215","28","187","FALSE","0","FALSE","0"
122,"Japanese Society of Veterinary Science","10.1292","16712","703","16009","FALSE","0","FALSE","0"
124,"Japan Society of Mechanical Engineers","10.1299","305351","13270","292081","FALSE","0","FALSE","0"
125,"Japanese Society for Pediatric Endocrinology","10.1297","805","58","747","FALSE","0","FALSE","0"
130,"Thomas Land Publishers","10.1310","800","82","718","TRUE","0.26829269528389","FALSE","0"
155,"Canadian Science Publishing","10.1139","185870","5924","179946","TRUE","0.877954065799713","TRUE","0.906127393245697"
160,"Penn State Press (Project Muse)","10.1376","1324","0","1324","FALSE","0","FALSE","0"
163,"Pharmaceutical Society of Japan","10.1248","67564","1492","66072","FALSE","0","FALSE","0"
164,"Pion Ltd","10.1068","985","0","985","FALSE","0","FALSE","0"
170,"Royal College of Psychiatrists","10.1192","63909","1371","62538","TRUE","0.613420844078064","TRUE","0.329703539609909"
171,"Royal College of Surgeons of England","10.1308","9684","892","8792","FALSE","0","FALSE","0"
175,"The Royal Society","10.1098","92088","6986","85102","TRUE","0.044088177382946","TRUE","0.266632974147797"
191,"Swets & Zeitlinger Publishers","10.1076","1926","0","1926","FALSE","0","FALSE","0"
192,"Techno-Press","10.1296","0","0","0","FALSE","0","FALSE","0"
222,"American Association for Clinical Chemistry (AACC)","10.15428, 10.1373","6","0","6","FALSE","0","FALSE","0"
223,"American Association on Intellectual and Developmental Disabilities (AAIDD)","10.1352","2854","244","2610","TRUE","0.184426233172417","FALSE","0"
225,"American Association of Pharmaceutical Scientists (AAPS)","10.1208","5031","907","4124","FALSE","0","FALSE","0"
231,"Acoustical Society of America (ASA)","10.1121","161170","6747","154423","FALSE","0","FALSE","0"
232,"American Society for Clinical Investigation","10.1172","33238","2288","30950","FALSE","0","FALSE","0"
245,"Chem-Bio Informatics Society","10.1273","153","18","135","FALSE","0","FALSE","0"
